num_hyps,proof_effort,frequency,canonical
1,1,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) : List.drop (n + 1) (x :: List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))"
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))) : List.drop (n + 1) (List.take (m + 1) (x :: xs)) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop n xs)"
1,1,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))"
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) : List.drop (n + 1) (x :: List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) : List.drop (n + 1) (List.take (m + 1) (x :: xs)) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop n xs)) : List.drop (n + 1) (x :: List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,(h1 : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop n xs)) : List.drop (n + 1) (List.take (m + 1) (x :: xs)) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))
1,1,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) : List.drop (n + 1) (List.take (m + 1) (x :: xs)) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))"
1,1,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) : List.drop n (List.take m (x :: xs)) = List.take (m - n) (List.drop n (x :: xs))"
2,2,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (n : ℕ) (m : ℕ) (h1 : List.drop (n + 1) (List.take m (x :: xs)) = List.take (m - (n + 1)) (List.drop (n + 1) (x :: xs))) : List.drop n (List.take m (x :: xs)) = List.take (m - n) (List.drop n (x :: xs))"
2,2,1,"(n : ℕ) (m : ℕ) (xs : List α) (x : α) (ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (h1 : List.drop n (List.take m (x :: xs)) = List.take (m - n) (List.drop n (x :: xs))) : List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)"
2,2,1,"(ih : ∀ (n m : ℕ), List.drop n (List.take m xs) = List.take (m - n) (List.drop n xs)) (m : ℕ) (n : ℕ) (h1 : List.drop n (List.take m xs) = List.take (m + 1 - (n + 1)) (List.drop (n + 1) (x :: xs))) : List.drop (n + 1) (List.take m (x :: xs)) = List.take (m - (n + 1)) (List.drop (n + 1) (x :: xs))"
